LAST SEEN             TYPE      REASON                   OBJECT                                  MESSAGE
57m                   Normal    Started                  Pod/cilium-g8nx9                        Started container mount-bpf-fs
57m                   Normal    Created                  Pod/cilium-dgnb4                        Created container clean-cilium-state
57m                   Normal    Pulled                   Pod/cilium-dgnb4                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Started                  Pod/cilium-dgnb4                        Started container mount-bpf-fs
57m                   Normal    Started                  Pod/cilium-sbz22                        Started container mount-bpf-fs
57m                   Normal    Pulled                   Pod/cilium-sbz22                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-sbz22                        Created container clean-cilium-state
57m                   Normal    Started                  Pod/cilium-sbz22                        Started container clean-cilium-state
57m                   Normal    Created                  Pod/cilium-8f5jf                        Created container install-cni-binaries
57m                   Normal    Created                  Pod/cilium-qrt92                        Created container install-cni-binaries
57m                   Normal    Pulled                   Pod/cilium-g8nx9                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-b54lh                        Created container install-cni-binaries
57m                   Normal    Pulled                   Pod/cilium-b54lh                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-sbz22                        Created container install-cni-binaries
57m                   Normal    Pulled                   Pod/cilium-sbz22                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Created                  Pod/cilium-dgnb4                        Created container install-cni-binaries
57m                   Normal    Pulled                   Pod/cilium-dgnb4                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
57m                   Normal    Pulled                   Pod/cilium-2hgp6                        Container image "quay.io/cilium/cilium:v1.18.2@sha256:858f807ea4e20e85e3ea3240a762e1f4b29f1cb5bbd0463b8aa77e7b097c0667" already present on machine
